"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D   %CHNG 
"
"NIFTY 200","14,326.75","14,428.30","14,306.40","14,309.40","14,326.60","-","17.20","0.12","2,01,05,22,779","74,074.93","14,700.95","11,941.45","-0.29","10.41"
"FEDERALBNK","247.50","278.40","247.45","246.85","270.75","-","23.90","9.68","6,68,36,048","1,781.58","278.40","172.66","3.07","39.20"
"INFY","1,663.70","1,694.00","1,653.40","1,599.80","1,689.10","-","89.30","5.58","1,93,35,957","3,247.32","1,971.80","1,307.00","6.08","-13.33"
"OFSS","7,584.50","8,011.00","7,546.50","7,531.00","7,944.00","-","413.00","5.48","3,81,617","300.27","11,007.05","7,038.00","1.67","-24.56"
"TECHM","1,600.00","1,680.70","1,600.00","1,588.50","1,672.00","-","83.50","5.26","37,33,401","617.17","1,736.40","1,209.40","5.85","-0.33"
"AUBANK","975.50","1,029.95","968.55","976.35","1,022.35","-","46.00","4.71","72,02,895","724.99","1,029.95","478.35","4.57","74.70"
"LTIM","6,030.50","6,370.00","6,030.50","6,030.50","6,300.00","-","269.50","4.47","8,72,154","548.21","6,380.00","3,802.00","1.48","8.06"
"360ONE","1,190.00","1,236.20","1,187.00","1,149.20","1,193.90","-","44.70","3.89","43,35,885","524.38","1,273.80","790.50","5.67","0.36"
"HINDPETRO","445.00","458.75","445.00","440.15","456.45","-","16.30","3.70","80,60,832","366.46","508.45","287.55","-1.60","26.06"
"MPHASIS","2,805.50","2,929.90","2,805.50","2,788.80","2,875.00","-","86.20","3.09","11,93,508","346.57","3,078.40","2,044.55","0.82","3.84"
"COFORGE","1,700.00","1,735.80","1,696.00","1,681.60","1,732.00","-","50.40","3.00","34,48,276","595.07","1,994.00","1,194.01","-7.20","-79.82"
"BANKINDIA","153.50","157.58","153.45","152.87","157.20","-","4.33","2.83","1,76,59,016","275.78","157.58","90.51","12.89","63.67"
"PNB","128.68","132.79","128.65","128.68","132.30","-","3.62","2.81","3,46,96,416","456.95","132.79","85.46","13.10","34.72"
"WIPRO","263.25","269.80","263.00","260.20","266.80","-","6.60","2.54","1,20,28,289","322.13","324.60","228.00","3.17","-8.61"
"HCLTECH","1,670.00","1,700.90","1,664.80","1,668.50","1,696.50","-","40.00","2.41","30,98,089","523.71","1,939.00","1,302.75","2.80","-6.99"
"TCS","3,219.40","3,221.90","3,171.00","3,192.50","3,209.00","-","73.50","2.34","42,93,470","1,374.18","4,313.90","2,866.60","0.05","-24.54"
"YESBANK","23.00","23.67","23.00","22.95","23.45","-","0.50","2.18","17,11,64,616","401.55","24.30","16.02","9.12","30.55"
"PERSISTENT","6,309.50","6,477.00","6,309.50","6,274.00","6,409.50","-","135.50","2.16","5,31,116","340.49","6,599.00","4,148.95","2.24","4.77"
"PAYTM","1,313.30","1,353.80","1,312.40","1,313.30","1,341.00","-","27.70","2.11","24,65,849","330.59","1,381.80","651.50","4.77","56.28"
"CANBK","154.00","157.72","153.85","153.89","157.03","-","3.14","2.04","3,51,74,000","550.16","158.00","78.60","6.77","65.94"
"BPCL","358.00","367.75","358.00","356.90","363.75","-","6.85","1.92","62,43,090","227.10","388.15","234.01","-1.34","36.03"
"ACC","1,729.90","1,763.00","1,712.60","1,728.10","1,760.10","-","32.00","1.85","2,45,388","42.65","2,119.90","1,687.00","-0.89","-10.87"
"NAUKRI","1,306.90","1,332.40","1,304.00","1,305.80","1,329.80","-","24.00","1.84","7,68,381","101.59","1,637.00","1,157.00","-1.32","-82.17"
"SHRIRAMFIN","981.00","1,022.00","981.00","981.10","996.95","-","15.85","1.62","1,33,16,550","1,335.73","1,025.60","493.35","17.33","86.69"
"PRESTIGE","1,514.00","1,553.30","1,511.90","1,500.20","1,524.10","-","23.90","1.59","8,86,810","136.04","1,814.00","1,048.05","-6.43","5.83"
"PREMIERENE","730.20","755.40","727.00","728.40","740.00","-","11.60","1.59","15,74,047","117.22","1,212.00","709.05","-18.81","-35.51"
"TATAELXSI","5,505.00","5,693.00","5,480.00","5,505.00","5,591.50","-","86.50","1.57","5,95,759","333.85","6,735.00","4,700.00","12.15","-8.34"
"UPL","786.20","796.95","779.05","780.40","792.35","-","11.95","1.53","34,61,231","273.43","812.20","531.30","5.37","44.48"
"HDFCAMC","2,580.20","2,696.00","2,580.00","2,554.10","2,593.00","-","38.90","1.52","28,69,514","759.22","2,967.25","1,781.53","0.49","-35.85"
"TATACONSUM","1,171.30","1,199.70","1,166.30","1,171.40","1,188.00","-","16.60","1.42","12,50,225","148.76","1,220.90","926.05","1.64","24.44"
"TORNTPOWER","1,347.00","1,376.60","1,342.20","1,345.10","1,362.20","-","17.10","1.27","3,30,638","45.05","1,640.00","1,188.00","5.97","-4.46"
"MOTHERSON","113.55","116.63","113.37","113.55","114.97","-","1.42","1.25","1,41,70,255","163.31","124.71","71.50","-4.00","-23.17"
"TMPV","349.70","359.70","349.65","349.80","354.00","-","4.20","1.20","1,07,35,620","381.67","786.65","337.70","2.36","-"
"MARICO","758.15","764.30","749.80","749.80","758.80","-","9.00","1.20","27,31,620","207.51","780.00","577.85","2.89","15.22"
"SBIN","1,032.00","1,047.45","1,028.40","1,028.35","1,040.60","-","12.25","1.19","1,10,51,580","1,148.79","1,047.45","680.00","8.44","38.29"
"IOC","160.00","162.15","159.85","159.16","161.01","-","1.85","1.16","1,50,11,308","242.01","174.50","110.72","-3.83","27.07"
"HYUNDAI","2,300.00","2,349.90","2,300.00","2,317.10","2,344.00","-","26.90","1.16","5,60,753","130.80","2,890.00","1,541.70","3.16","30.35"
"ICICIGI","1,850.50","1,892.70","1,840.00","1,857.70","1,878.80","-","21.10","1.14","9,66,834","180.44","2,068.70","1,613.70","-4.15","-1.29"
"UNITDSPR","1,350.00","1,353.50","1,337.40","1,336.00","1,350.50","-","14.50","1.09","8,88,719","119.72","1,645.00","1,271.10","-7.08","-4.41"
"LODHA","1,055.00","1,086.90","1,055.00","1,058.80","1,070.10","-","11.30","1.07","19,41,994","208.58","1,531.00","1,035.15","-0.42","-4.80"
"OBEROIRLTY","1,645.00","1,686.40","1,640.20","1,648.40","1,665.00","-","16.60","1.01","2,90,688","48.45","2,059.15","1,451.95","2.32","-17.06"
"ULTRACEMCO","11,800.00","12,405.00","11,800.00","12,255.00","12,377.00","-","122.00","1.00","4,54,481","559.79","13,097.00","10,047.85","7.37","17.64"
"IDFCFIRSTB","83.06","84.15","82.98","83.07","83.89","-","0.82","0.99","1,63,47,138","136.61","87.00","52.46","0.40","35.10"
"SHREECEM","27,550.00","27,900.00","27,370.00","27,550.00","27,800.00","-","250.00","0.91","32,929","91.34","32,490.00","24,862.55","7.12","10.06"
"NTPCGREEN","92.00","92.69","90.90","91.75","92.52","-","0.77","0.84","41,87,639","38.47","123.90","84.55","2.36","-22.96"
"GODREJCP","1,235.00","1,253.30","1,228.10","1,226.90","1,236.90","-","10.00","0.82","8,95,547","111.09","1,309.00","979.50","4.61","9.58"
"VEDL","675.75","686.00","664.35","675.75","681.05","-","5.30","0.78","2,77,43,749","1,882.41","686.00","363.00","19.88","56.85"
"BHARATFORG","1,444.10","1,478.00","1,444.10","1,447.20","1,458.00","-","10.80","0.75","5,13,291","75.09","1,506.50","919.10","2.82","23.14"
"INDUSINDBK","945.00","960.20","938.05","944.50","951.50","-","7.00","0.74","1,03,45,071","984.37","1,086.55","606.00","12.87","-0.89"
"GODREJPROP","1,882.30","1,940.70","1,875.20","1,871.40","1,885.00","-","13.60","0.73","12,15,966","232.26","2,522.00","1,850.10","-6.65","-18.12"
"ABCAPITAL","360.00","363.85","357.60","358.60","361.20","-","2.60","0.73","43,22,481","156.27","369.30","149.01","4.01","108.30"
"PFC","373.90","379.15","370.30","371.85","374.50","-","2.65","0.71","61,39,589","230.60","444.10","329.90","11.66","-12.21"
"CUMMINSIND","3,975.00","4,076.40","3,970.10","4,029.20","4,057.50","-","28.30","0.70","4,04,603","163.95","4,615.00","2,580.00","-9.62","40.64"
"COLPAL","2,092.30","2,110.00","2,088.60","2,092.30","2,107.00","-","14.70","0.70","2,99,076","62.87","2,975.00","2,033.00","-2.57","-21.01"
"TATATECH","647.95","657.00","647.95","646.65","651.20","-","4.55","0.70","8,55,667","55.83","841.30","597.00","0.04","-18.66"
"KPITTECH","1,180.00","1,223.40","1,180.00","1,179.40","1,187.00","-","7.60","0.64","7,34,628","88.43","1,479.00","1,020.60","0.93","-11.54"
"AMBUJACEM","551.50","558.45","545.70","549.55","553.00","-","3.45","0.63","20,77,235","115.07","624.95","455.00","0.92","6.63"
"NESTLEIND","1,318.20","1,320.90","1,305.30","1,307.10","1,315.10","-","8.00","0.61","14,91,989","196.22","1,332.70","1,055.00","6.07","-40.18"
"SBILIFE","2,062.00","2,097.20","2,061.90","2,068.80","2,080.50","-","11.70","0.57","7,53,887","156.77","2,109.60","1,372.55","2.21","41.30"
"INDIANB","846.40","861.40","843.05","846.40","851.15","-","4.75","0.56","18,00,308","153.42","894.85","478.00","10.21","69.45"
"HDFCBANK","922.00","935.95","919.20","925.45","930.55","-","5.10","0.55","3,77,80,235","3,510.43","1,020.50","812.73","-6.36","-43.33"
"RECLTD","370.00","377.50","369.80","369.90","371.95","-","2.05","0.55","87,28,064","325.44","495.60","330.95","10.61","-22.49"
"GRASIM","2,810.80","2,827.30","2,791.00","2,795.80","2,810.90","-","15.10","0.54","6,78,922","190.66","2,977.80","2,294.15","0.38","21.23"
"BAJFINANCE","940.20","963.00","936.80","945.95","951.00","-","5.05","0.53","1,07,10,080","1,018.99","1,102.50","710.52","-4.82","-86.76"
"CHOLAFIN","1,689.50","1,707.90","1,676.90","1,689.50","1,698.40","-","8.90","0.53","27,96,464","472.22","1,831.50","1,169.80","-0.94","35.52"
"JSWSTEEL","1,181.80","1,199.30","1,179.20","1,181.80","1,188.00","-","6.20","0.52","18,83,089","224.00","1,223.90","882.50","9.67","31.33"
"TORNTPHARM","4,020.00","4,032.00","3,972.00","4,003.70","4,021.70","-","18.00","0.45","1,71,667","68.78","4,104.80","2,886.45","6.72","24.98"
"GODFRYPHLP","2,237.60","2,274.00","2,228.10","2,227.10","2,237.00","-","9.90","0.44","3,69,369","83.16","3,947.00","1,370.82","-21.65","-49.76"
"M&MFIN","356.05","360.40","352.30","354.95","356.40","-","1.45","0.41","19,35,209","68.87","412.20","231.02","565.11","7.68"
"HINDUNILVR","2,370.00","2,372.90","2,348.90","2,353.50","2,361.80","-","8.30","0.35","13,67,606","322.79","2,750.00","2,136.00","3.48","-0.53"
"M&M","3,650.10","3,729.90","3,650.10","3,649.50","3,660.00","-","10.50","0.29","20,89,943","771.00","3,839.90","2,425.00","1.03","23.58"
"ADANIENT","2,162.80","2,193.90","2,152.10","2,153.30","2,159.00","-","5.70","0.26","7,58,469","164.85","2,616.50","1,967.52","-4.03","-9.67"
"GMRAIRPORT","99.99","102.47","99.69","99.70","99.95","-","0.25","0.25","1,50,01,263","151.05","110.36","67.75","-3.50","34.42"
"SUPREMEIND","3,509.90","3,599.00","3,472.80","3,485.20","3,492.50","-","7.30","0.21","3,01,600","105.99","4,739.00","3,095.00","2.45","-20.28"
"MFSL","1,655.00","1,662.70","1,637.40","1,649.10","1,652.00","-","2.90","0.18","3,22,530","53.20","1,752.20","950.00","-1.07","59.64"
"IRFC","122.39","123.89","121.59","122.01","122.22","-","0.21","0.17","1,16,86,581","143.31","155.52","108.04","9.09","-11.17"
"DABUR","513.75","520.30","512.00","513.75","514.60","-","0.85","0.17","6,60,633","34.09","577.00","433.30","3.49","-0.18"
"ALKEM","5,836.00","5,879.50","5,796.50","5,830.50","5,840.00","-","9.50","0.16","1,20,335","70.27","5,933.50","4,491.65","3.05","12.21"
"PIIND","3,270.00","3,304.70","3,245.30","3,287.60","3,292.80","-","5.20","0.16","1,26,854","41.51","4,330.00","2,951.10","0.26","-5.53"
"RELIANCE","1,458.80","1,480.00","1,455.10","1,458.80","1,461.00","-","2.20","0.15","1,71,67,161","2,513.51","1,611.80","1,114.85","-5.47","16.43"
"LTF","298.00","299.55","292.75","295.80","296.25","-","0.45","0.15","67,87,271","201.24","329.45","131.05","-1.46","111.61"
"CONCOR","519.50","524.00","516.65","519.50","520.00","-","0.50","0.10","8,99,884","46.88","652.04","481.00","4.02","-31.54"
"BDL","1,516.00","1,533.50","1,499.00","1,513.60","1,515.00","-","1.40","0.09","11,30,721","171.46","2,096.60","907.00","11.86","33.72"
"IRCTC","627.45","634.10","626.05","627.45","628.00","-","0.55","0.09","11,52,976","72.58","831.75","626.00","-6.47","-17.37"
"BAJAJFINSV","2,012.80","2,033.00","2,000.60","2,000.90","2,002.00","-","1.10","0.05","11,77,279","236.98","2,195.00","1,617.00","-1.61","19.79"
"INDIGO","4,700.00","4,757.50","4,700.00","4,733.00","4,734.50","-","1.50","0.03","10,79,566","511.27","6,232.50","3,945.00","-4.70","16.58"
"BANKBARODA","307.70","313.35","306.10","307.70","307.75","-","0.05","0.02","1,66,90,141","517.58","313.35","190.70","8.98","38.84"
